Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
60.0,207100,tesoma,2021,Kerrostalo
28.0,159700,hatanpää,2022,Kerrostalo
36.0,140700,tesoma,2021,Kerrostalo
27.0,115600,tesoma,2021,Kerrostalo
36.5,201300,hatanpää,2022,Kerrostalo
36.5,197400,hatanpää,2022,Kerrostalo
36.5,193400,hatanpää,2022,Kerrostalo
58.5,119000,tesoma,1974,Kerrostalo
45.5,193000,härmälänranta,2018,Kerrostalo
87.0,282000,armonkallio,1956,Kerrostalo
80.5,248000,linnainmaa,2001,Rivitalo
51.5,92500,annala,1975,Kerrostalo
75.5,374800,niemenranta,2022,Kerrostalo
117.0,639100,niemenranta,2022,Kerrostalo
64.5,306100,niemenranta,2022,Kerrostalo
65.0,308100,niemenranta,2022,Kerrostalo
90.5,470300,niemenranta,2022,Kerrostalo
47.0,235000,niemenranta,2022,Kerrostalo
39.0,201100,niemenranta,2022,Kerrostalo
75.5,360500,niemenranta,2022,Kerrostalo
55.5,278700,niemenranta,2022,Kerrostalo
39.0,196100,niemenranta,2022,Kerrostalo
64.5,299100,niemenranta,2022,Kerrostalo
55.5,270700,niemenranta,2022,Kerrostalo
47.0,230000,niemenranta,2022,Kerrostalo
90.5,450400,niemenranta,2022,Kerrostalo
39.0,191100,niemenranta,2022,Kerrostalo
75.5,353500,niemenranta,2022,Kerrostalo
90.5,440400,niemenranta,2022,Kerrostalo
47.0,225000,niemenranta,2022,Kerrostalo
55.5,264700,niemenranta,2022,Kerrostalo
55.5,259700,niemenranta,2022,Kerrostalo
75.5,346500,niemenranta,2022,Kerrostalo
47.0,220000,niemenranta,2022,Kerrostalo
64.5,285100,niemenranta,2022,Kerrostalo
39.0,186100,niemenranta,2022,Kerrostalo
90.5,430300,niemenranta,2022,Kerrostalo
64.5,292100,niemenranta,2022,Kerrostalo
55.5,249700,niemenranta,2022,Kerrostalo
75.5,336400,niemenranta,2022,Kerrostalo
90.5,420400,niemenranta,2022,Kerrostalo
64.5,273100,niemenranta,2022,Kerrostalo
90.5,398000,niemenranta,2022,Kerrostalo
39.0,181100,niemenranta,2022,Kerrostalo
47.0,215000,niemenranta,2022,Kerrostalo
75.5,321500,niemenranta,2022,Kerrostalo
47.0,201000,niemenranta,2022,Kerrostalo
75.5,301500,niemenranta,2022,Kerrostalo
55.5,240700,niemenranta,2022,Kerrostalo
64.5,256100,niemenranta,2022,Kerrostalo
93.5,179000,härmälä,1956,Kerrostalo
63.0,167000,janka,1993,Kerrostalo
53.0,88000,epilä,1963,Kerrostalo
43.5,12140,kaukajärvi,1997,Kerrostalo
74.0,139000,takahuhti,1981,Kerrostalo
66.5,184000,annala,2011,Luhtitalo
58.4,219000,kaleva,1951,Kerrostalo
