Neliöt,Hinta,Kaupunginosa,Rakennusvuosi,Tyyppi
24.0,172800,kaleva,2018,Kerrostalo
31.0,74000,multisilta,1972,Kerrostalo
51.5,173000,kaukajärvi,2016,Kerrostalo
43.5,230000,keskusta,1963,Kerrostalo
42.0,139000,kaukajärvi,2003,Kerrostalo
44.0,145000,janka,2003,Kerrostalo
69.5,449900,keskusta,2022,Kerrostalo
91.0,167000,annala,1991,Kerrostalo
35.5,70000,härmälä,1938,Kerrostalo
85.0,247000,rahola,2013,Rivitalo
41.0,178000,keskusta,1929,Kerrostalo
43.0,189500,kaleva,1963,Kerrostalo
26.0,137500,lielahti,2018,Kerrostalo
86.0,297890,vuores,2020,Kerrostalo
117.0,549000,pyynikki,1969,Kerrostalo
38.0,69000,rahola,1947,Kerrostalo
49.5,129000,rantaperkiö,1971,Kerrostalo
50.0,149900,holvasti,1994,Kerrostalo
43.0,129000,tammela,1939,Kerrostalo
79.0,159000,haukiluoma,1984,Rivitalo
39.0,210900,hatanpää,2022,Kerrostalo
26.5,167300,hatanpää,2022,Kerrostalo
34.5,192100,hatanpää,2022,Kerrostalo
46.0,215200,hatanpää,2022,Kerrostalo
32.5,169900,hatanpää,2022,Kerrostalo
46.0,199900,hatanpää,2022,Kerrostalo
32.5,164900,hatanpää,2022,Kerrostalo
28.5,167500,hatanpää,2022,Kerrostalo
64.0,259000,keskusta,1920,Kerrostalo
57.0,298000,härmälänranta,2005,Kerrostalo
45.5,159000,tammela,1970,Kerrostalo
55.5,194000,lentävänniemi,2013,Kerrostalo
52.0,129000,ruotula,1965,Kerrostalo
78.0,279000,keskusta,1968,Kerrostalo
57.0,199000,kaleva,1965,Kerrostalo
52.5,165000,kaleva,1960,Kerrostalo
101.0,359000,vuohenoja,1985,Rivitalo
54.0,199000,armonkallio,1914,Kerrostalo
24.0,116900,vuores,2017,Kerrostalo
90.5,360000,pyynikki,1988,Kerrostalo
29.0,175400,hatanpää,2019,Kerrostalo
31.0,69000,tesoma,1969,Kerrostalo
106.4,267000,hervanta,1978,Omakotitalo
57.5,129000,lentävänniemi,1975,Kerrostalo
38.5,89000,tesoma,1970,Kerrostalo
91.0,190000,lukonmäki,1977,Rivitalo
57.5,124000,rahola,1972,Kerrostalo
80.5,270000,kaleva,1965,Kerrostalo
33.5,174500,härmälänranta,2019,Kerrostalo
